n,canonical,canonical_time,ilp,ilp_time,greedy,greedy_time,crank_algorithm_time,local_sat,local_sat_time,canonical_correct,ilp_correct,greedy_correct,crank_algorithm_correct,local_sat_correct
10,0.8,0.015535116195678711,0.8,0.19355759620666504,0.8,0.02931947708129883,0.8549202442169189,0.2,0.036697006225585936,1.0,1.0,1.0,1.0,0.4
11,0.8,0.0047950267791748045,0.8,0.07931666374206543,0.8,0.009591770172119141,2.5671279430389404,0.0,0.06764025688171386,1.0,1.0,1.0,0.2,0.2
12,0.6,0.007779598236083984,0.6,0.11963014602661133,0.6,0.022544717788696288,,0.2,0.05986299514770508,1.0,1.0,1.0,0.0,0.6
13,0.8,0.004988527297973633,0.8,0.1343484878540039,0.8,0.018169546127319337,,0.2,0.07821092605590821,1.0,1.0,1.0,0.0,0.4
14,0.8,0.00798349380493164,0.8,0.10401597023010253,0.8,0.021380519866943358,,0.0,0.0672264575958252,1.0,1.0,1.0,0.0,0.2
15,1.0,0.016150426864624024,1.0,0.16612424850463867,1.0,0.00241546630859375,,0.0,0.11787567138671876,1.0,1.0,1.0,0.0,0.0
16,0.6,0.005586862564086914,0.6,0.16637496948242186,0.6,0.05010213851928711,,0.0,0.12173671722412109,1.0,1.0,1.0,0.0,0.4
17,0.8,0.012741279602050782,0.8,0.13057951927185057,0.8,0.04455070495605469,,0.0,0.08458189964294434,1.0,1.0,1.0,0.0,0.2
18,0.4,0.00715785026550293,0.4,0.2939274787902832,0.4,0.09260354042053223,,0.0,0.15240926742553712,1.0,1.0,1.0,0.0,0.6
19,0.6,0.013367366790771485,0.6,0.3344369411468506,0.6,0.10894279479980469,,0.0,0.1723996639251709,1.0,1.0,1.0,0.0,0.4
20,0.4,0.017540407180786134,0.4,0.4836188793182373,0.4,0.25850753784179686,,0.0,0.38388919830322266,1.0,1.0,1.0,0.0,0.6
21,0.4,0.04068183898925781,0.4,0.6560199737548829,0.4,0.3211325168609619,,0.0,0.3482954502105713,1.0,1.0,1.0,0.0,0.6
22,1.0,0.03406233787536621,1.0,0.25211362838745116,1.0,0.024126768112182617,,0.0,0.47075653076171875,1.0,1.0,1.0,0.0,0.0
23,0.8,0.015355968475341797,0.8,0.3441456317901611,0.8,0.16875648498535156,,0.0,0.27089366912841795,1.0,1.0,1.0,0.0,0.2
24,1.0,0.01578230857849121,1.0,0.1518329620361328,0.8,0.16403741836547853,,0.0,0.29351019859313965,1.0,1.0,0.8,0.0,0.0
25,0.0,0.03552684783935547,0.0,1.2946017742156983,0.0,0.48975706100463867,,0.0,0.41758060455322266,1.0,1.0,1.0,0.0,1.0
26,1.0,0.0173464298248291,1.0,0.2241276741027832,1.0,0.05929012298583984,,0.0,0.3737777233123779,1.0,1.0,1.0,0.0,0.0
27,0.4,0.026785516738891603,0.4,0.7297266483306885,0.4,0.35776581764221194,,0.0,0.4488935947418213,1.0,1.0,1.0,0.0,0.6
28,1.0,0.014180707931518554,1.0,0.25611181259155275,1.0,0.12599544525146483,,0.0,0.35005478858947753,1.0,1.0,1.0,0.0,0.0
29,1.0,0.015164804458618165,1.0,0.1391002655029297,0.8,0.11478533744812011,,0.0,0.32079205513000486,1.0,1.0,0.8,0.0,0.0
30,0.8,0.01595931053161621,0.8,0.3724055290222168,0.6,0.21523666381835938,,0.0,0.3107326030731201,1.0,1.0,0.8,0.0,0.2
31,0.6,0.012191390991210938,0.6,0.482544994354248,0.6,0.35928616523742674,,0.0,0.31836590766906736,1.0,1.0,1.0,0.0,0.4
32,0.8,0.013955497741699218,0.8,0.25615391731262205,0.8,0.16959261894226074,,0.0,0.2638955593109131,1.0,1.0,1.0,0.0,0.2
33,0.6,0.01659731864929199,0.6,0.450277042388916,0.6,0.32913804054260254,,0.0,0.2369542598724365,1.0,1.0,1.0,0.0,0.4
34,0.8,0.015363645553588868,0.8,0.342164421081543,0.8,0.11970081329345703,,0.0,0.348084545135498,1.0,1.0,1.0,0.0,0.2
